134178 318775 1
362407 48091 1
48091 248807 1
248807 166766 1
33626 125431 1
210227 49354 1
49354 134144 1
134144 10702 1
10702 145811 1
145811 345285 1
345285 233809 1
233809 224005 1
224005 239125 1
198783 299770 1
299770 23228 1
95579 340829 1
340829 253638 1
253638 231130 1
231130 292928 1
221249 137504 1
176417 150109 1
150109 263188 1
273335 174347 1
49668 7267 1
7267 144352 1
144352 28869 1
28869 316513 1
316513 28360 1
28360 138548 1
138548 205987 1
205987 367099 1
367099 322946 1
322946 369028 1
369028 366299 1
366299 371184 1
296001 359993 2
359993 358375 1
358375 345744 1
345744 174895 1
174895 277112 1
277112 21856 1
21856 313975 1
313975 121544 1
121544 78376 1
78376 7420 1
7420 41455 1
41455 190842 1
190842 129649 1
129649 65921 1
65921 335670 1
335670 237418 1
237418 234859 1
234859 258925 1
258925 206968 1
206968 178508 1
178508 156435 1
156435 228340 1
358375 225637 1
84200 161532 2
161532 118955 2
118955 288275 1
288275 80859 1
342653 275311 1
275311 39859 1
39859 281232 1
324874 83032 1
82618 24108 1
24108 218951 1
218951 158292 1
220737 110770 1
110770 136477 1
136477 255377 2
255377 118001 1
118001 69976 1
69976 345188 1
345188 115715 2
115715 368635 1
368635 244418 1
244418 280533 1
280533 363709 1
363709 262451 1
280533 345188 1
115715 69976 1
69976 322863 1
322863 368635 1
158292 218951 1
218951 190051 1
190051 166466 1
345188 144173 1
199489 351542 1
351542 375630 1
375630 366262 1
366262 232801 1
232801 3747 1
3747 345195 4
345195 160203 1
160203 84511 4
84511 275010 2
31583 142280 7
325187 193105 1
353822 99487 1
194869 35865 4
77041 323300 1
323300 258332 1
258332 194869 1
194869 218482 1
218482 160752 1
160752 353822 1
338053 187358 1
166060 138491 1
174958 280139 1
55241 280139 1
264403 370377 1
370377 68588 3
194869 370377 1
324700 354448 1
354448 29572 1
302831 118955 1
118955 369536 1
369536 73860 2
93254 195518 1
278029 361439 1
361439 373515 1
373515 35907 2
336724 343787 1
223491 373515 1
30126 194319 1
194319 316328 1
316328 117031 1
117031 374455 1
374455 156055 1
173813 323283 1
323283 231225 2
231225 299770 1
299770 5292 2
356534 105529 1
105529 110693 1
44527 140105 1
